   t                 theta (Euler)              theta (Euler-Cromer)
 44.10             0.78259102152E+00             0.85866747252E-01
 44.20             0.78481585398E+00             0.83822576197E-01
 44.30             0.77921477623E+00             0.80940179379E-01
 44.40             0.76576553994E+00             0.77248380768E-01
 44.50             0.74452415588E+00             0.72784098350E-01
 44.60             0.71562511643E+00             0.67591974947E-01
 44.70             0.67928083542E+00             0.61723931796E-01
 44.80             0.63578030324E+00             0.55238649326E-01
 44.90             0.58548696271E+00             0.48200980363E-01
 45.00             0.52883581915E+00             0.40681301596E-01
 45.10             0.46632980596E+00             0.32754809814E-01
 45.20             0.39853543457E+00             0.24500769933E-01
 45.30             0.32607776513E+00             0.16001722353E-01
 45.40             0.24963474135E+00             0.73426575494E-02
 45.50             0.16993093991E+00            -0.13898338297E-02
 45.60             0.87730791055E-01            -0.10108426870E-01
 45.70             0.38313328046E-02            -0.18725935643E-01
 45.80            -0.80945433357E-01            -0.27156185058E-01
 45.90            -0.16576051285E+00            -0.35314872623E-01
 46.00            -0.24976613800E+00            -0.43120411462E-01
 46.10            -0.33211415803E+00            -0.50494746186E-01
 46.20            -0.41196451668E+00            -0.57364133449E-01
 46.30            -0.48849373374E+00            -0.63659879376E-01
 46.40            -0.56090330564E+00            -0.69319026510E-01
 46.50            -0.62842794021E+00            -0.74284983379E-01
 46.60            -0.69034354171E+00            -0.78508090415E-01
 46.70            -0.74597486382E+00            -0.81946116546E-01
 46.80            -0.79470275050E+00            -0.84564681511E-01
 46.90            -0.83597088855E+00            -0.86337599662E-01
 47.00            -0.86929199910E+00            -0.87247141816E-01
 47.10            -0.89425340076E+00            -0.87284212551E-01
 47.20            -0.91052188242E+00            -0.86448441161E-01
 47.30            -0.91784783008E+00            -0.84748185360E-01
 47.40            -0.91606855892E+00            -0.82200447705E-01
 47.50            -0.90511080945E+00            -0.78830705573E-01
 47.60            -0.88499237440E+00            -0.74672656385E-01
 47.70            -0.85582283125E+00            -0.69767880633E-01
 47.80            -0.81780336436E+00            -0.64165426075E-01
 47.90            -0.77122566915E+00            -0.57921317257E-01
 48.00            -0.71646994030E+00            -0.51097995265E-01
 48.10            -0.65400195476E+00            -0.43763693321E-01
 48.20            -0.58436926982E+00            -0.35991754444E-01
 48.30            -0.50819656533E+00            -0.27859898023E-01
 48.40            -0.42618016814E+00            -0.19449442621E-01
 48.50            -0.33908180530E+00            -0.10844492793E-01
 48.60            -0.24772164077E+00            -0.21310980367E-02
 48.70            -0.15297065820E+00             0.66036076997E-02
 48.80            -0.55742459210E-01             0.15272277359E-01
 48.90             0.43015446356E-01             0.23788224245E-01
 49.00             0.14233077651E+00             0.32066288888E-01
 49.10             0.24121595221E+00             0.40023690643E-01
 49.20             0.33867782014E+00             0.47580855491E-01
 49.30             0.43372752855E+00             0.54662211784E-01
 49.40             0.52539045875E+00             0.61196945959E-01
 49.50             0.61271611368E+00             0.67119710675E-01
 49.60             0.69478786401E+00             0.72371278284E-01
 49.70             0.77073245321E+00             0.76899133110E-01
 49.80             0.83972916376E+00             0.80657996605E-01
 49.90             0.90101854979E+00             0.83610280134E-01
 50.00             0.95391064417E+00             0.85726460861E-01
 50.10             0.99779255306E+00             0.86985376980E-01
 50.20             0.10321353555E+01             0.87374439329E-01
 50.30             0.10565002324E+01             0.86889757285E-01
 50.40             0.10705437558E+01             0.85536177668E-01
 50.50             0.10740222768E+01             0.83327236275E-01
 50.60             0.10667953603E+01             0.80285022518E-01
 50.70             0.10488282210E+01             0.76439958537E-01
 50.80             0.10201931281E+01             0.71830494970E-01
 50.90             0.98106975302E+00             0.66502726453E-01
 51.00             0.93174444664E+00             0.60509930672E-01
 51.10             0.87260844273E+00             0.53912035584E-01
 51.20             0.80415499435E+00             0.46775020141E-01
 51.30             0.72697546154E+00             0.39170254495E-01
 51.40             0.64175437879E+00             0.31173786305E-01
 51.50             0.54926354142E+00             0.22865580252E-01
 51.60             0.45035516027E+00             0.14328718397E-01
 51.70             0.34595414370E+00             0.56485693569E-02
 51.80             0.23704957553E+00            -0.30880653763E-02
 51.90             0.12468546592E+00            -0.11793819456E-01
 52.00             0.99508605587E-02            -0.20381635341E-01
 52.10            -0.10603059946E+00            -0.28765634872E-01
 52.20            -0.22211156809E+00            -0.36861978055E-01
 52.30            -0.33713223072E+00            -0.44589701457E-01
 52.40            -0.44993177768E+00            -0.51871527845E-01
 52.50            -0.55936000232E+00            -0.58634638954E-01
 52.60            -0.66428890919E+00            -0.64811403673E-01
 52.70            -0.76362421604E+00            -0.70340054356E-01
 52.80            -0.85631663379E+00            -0.75165304496E-01
 52.90            -0.94137280938E+00            -0.79238901590E-01
 53.00            -0.10178658186E+01            -0.82520109669E-01
 53.10            -0.10849450998E+01            -0.84976116650E-01
 53.20            -0.11418457228E+01            -0.86582362466E-01
 53.30            -0.11878968948E+01            -0.87322784656E-01
 53.40            -0.12225296095E+01            -0.87189979000E-01
