   t         Omega F_0 0       Omega F_0 0.5       Omega F_0 1.2
 10.14   0.19210425102E-01   0.59666096876E+00  -0.65660112089E+00
 10.17   0.21385200899E-01   0.60109625182E+00  -0.65146533079E+00
 10.20   0.23508172844E-01   0.60519713382E+00  -0.64617419828E+00
 10.23   0.25578212560E-01   0.60896017532E+00  -0.64072554127E+00
 10.26   0.27594255763E-01   0.61238232530E+00  -0.63511743099E+00
 10.29   0.29555302249E-01   0.61546093013E+00  -0.62934820084E+00
 10.32   0.31460415819E-01   0.61819374115E+00  -0.62341645525E+00
 10.35   0.33308724157E-01   0.62057892105E+00  -0.61732107819E+00
 10.38   0.35099418657E-01   0.62261504868E+00  -0.61106124148E+00
 10.41   0.36831754192E-01   0.62430112259E+00  -0.60463641280E+00
 10.44   0.38505048840E-01   0.62563656297E+00  -0.59804636333E+00
 10.47   0.40118683556E-01   0.62662121220E+00  -0.59129117502E+00
 10.50   0.41672101800E-01   0.62725533387E+00  -0.58437124739E+00
 10.53   0.43164809110E-01   0.62753961032E+00  -0.57728730387E+00
 10.56   0.44596372636E-01   0.62747513868E+00  -0.57004039767E+00
 10.59   0.45966420623E-01   0.62706342548E+00  -0.56263191698E+00
 10.62   0.47274641849E-01   0.62630637981E+00  -0.55506358968E+00
 10.65   0.48520785022E-01   0.62520630509E+00  -0.54733748737E+00
 10.68   0.49704658133E-01   0.62376588949E+00  -0.53945602875E+00
 10.71   0.50826127762E-01   0.62198819507E+00  -0.53142198228E+00
 10.74   0.51885118351E-01   0.61987664568E+00  -0.52323846817E+00
 10.77   0.52881611429E-01   0.61743501376E+00  -0.51490895957E+00
 10.80   0.53815644803E-01   0.61466740594E+00  -0.50643728302E+00
 10.83   0.54687311710E-01   0.61157824781E+00  -0.49782761811E+00
 10.86   0.55496759930E-01   0.60817226765E+00  -0.48908449637E+00
 10.89   0.56244190865E-01   0.60445447943E+00  -0.48021279925E+00
 10.92   0.56929858581E-01   0.60043016508E+00  -0.47121775546E+00
 10.95   0.57554068821E-01   0.59610485613E+00  -0.46210493729E+00
 10.98   0.58117177983E-01   0.59148431483E+00  -0.45288025625E+00
 11.01   0.58619592063E-01   0.58657451495E+00  -0.44354995786E+00
 11.04   0.59061765579E-01   0.58138162212E+00  -0.43412061561E+00
 11.07   0.59444200449E-01   0.57591197413E+00  -0.42459912417E+00
 11.10   0.59767444865E-01   0.57017206104E+00  -0.41499269173E+00
 11.13   0.60032092116E-01   0.56416850528E+00  -0.40530883175E+00
 11.16   0.60238779407E-01   0.55790804189E+00  -0.39555535378E+00
 11.19   0.60388186643E-01   0.55139749894E+00  -0.38574035372E+00
 11.22   0.60481035193E-01   0.54464377821E+00  -0.37587220330E+00
