   t         Theta F_0 0       Theta F_0 0.5       Theta F_0 1.2
  7.02   0.17943133761E+00   0.58288098145E+01   0.50439898640E+01
  7.05   0.17744170944E+00   0.58159207320E+01   0.50061589234E+01
  7.08   0.17532306486E+00   0.58031804000E+01   0.49686769213E+01
  7.11   0.17307921631E+00   0.57905969496E+01   0.49315481647E+01
  7.14   0.17071403076E+00   0.57781783782E+01   0.48947760359E+01
  7.17   0.16823142555E+00   0.57659325457E+01   0.48583630287E+01
  7.20   0.16563536431E+00   0.57538671714E+01   0.48223107871E+01
  7.23   0.16292985287E+00   0.57419898311E+01   0.47866201445E+01
  7.26   0.16011893514E+00   0.57303079549E+01   0.47512911649E+01
  7.29   0.15720668911E+00   0.57188288247E+01   0.47163231837E+01
  7.32   0.15419722282E+00   0.57075595727E+01   0.46817148503E+01
  7.35   0.15109467032E+00   0.56965071796E+01   0.46474641696E+01
  7.38   0.14790318772E+00   0.56856784735E+01   0.46135685448E+01
  7.41   0.14462694928E+00   0.56750801291E+01   0.45800248185E+01
  7.44   0.14127014346E+00   0.56647186665E+01   0.45468293148E+01
  7.47   0.13783696908E+00   0.56546004513E+01   0.45139778795E+01
  7.50   0.13433163148E+00   0.56447316940E+01   0.44814659204E+01
  7.53   0.13075833876E+00   0.56351184502E+01   0.44492884462E+01
  7.56   0.12712129799E+00   0.56257666205E+01   0.44174401048E+01
  7.59   0.12342471155E+00   0.56166819512E+01   0.43859152194E+01
  7.62   0.11967277348E+00   0.56078700344E+01   0.43547078248E+01
  7.65   0.11586966589E+00   0.55993363088E+01   0.43238117013E+01
  7.68   0.11201955540E+00   0.55910860605E+01   0.42932204077E+01
  7.71   0.10812658969E+00   0.55831244236E+01   0.42629273127E+01
  7.74   0.10419489404E+00   0.55754563815E+01   0.42329256247E+01
  7.77   0.10022856801E+00   0.55680867674E+01   0.42032084209E+01
  7.80   0.96231682117E-01   0.55610202656E+01   0.41737686739E+01
  7.83   0.92208274609E-01   0.55542614122E+01   0.41445992777E+01
  7.86   0.88162348315E-01   0.55478145968E+01   0.41156930717E+01
  7.89   0.84097867549E-01   0.55416840627E+01   0.40870428633E+01
  7.92   0.80018755099E-01   0.55358739082E+01   0.40586414499E+01
  7.95   0.75928889286E-01   0.55303880880E+01   0.40304816380E+01
  7.98   0.71832101102E-01   0.55252304131E+01   0.40025562627E+01
  8.01   0.67732171433E-01   0.55204045525E+01   0.39748582046E+01
  8.04   0.63632828353E-01   0.55159140335E+01   0.39473804060E+01
  8.07   0.59537744514E-01   0.55117622422E+01   0.39201158860E+01
  8.10   0.55450534615E-01   0.55079524243E+01   0.38930577540E+01
  8.13   0.51374752953E-01   0.55044876853E+01   0.38661992228E+01
  8.16   0.47313891076E-01   0.55013709906E+01   0.38395336197E+01
  8.19   0.43271375510E-01   0.54986051657E+01   0.38130543976E+01
  8.22   0.39250565592E-01   0.54961928963E+01   0.37867551443E+01
  8.25   0.35254751384E-01   0.54941367276E+01   0.37606295918E+01
  8.28   0.31287151685E-01   0.54924390644E+01   0.37346716236E+01
  8.31   0.27350912138E-01   0.54911021700E+01   0.37088752824E+01
  8.34   0.23449103433E-01   0.54901281660E+01   0.36832347763E+01
  8.37   0.19584719599E-01   0.54895190308E+01   0.36577444843E+01
  8.40   0.15760676402E-01   0.54892765987E+01   0.36323989621E+01
  8.43   0.11979809831E-01   0.54894025586E+01   0.36071929456E+01
  8.46   0.82448746882E-02   0.54898984525E+01   0.35821213557E+01
  8.49   0.45585432691E-02   0.54907656733E+01   0.35571793009E+01
  8.52   0.92340414655E-03   0.54920054639E+01   0.35323620809E+01
  8.55   0.62805272682E+01   0.54936189140E+01   0.35076651888E+01
  8.58   0.62770019390E+01   0.54956069585E+01   0.34830843131E+01
  8.61   0.62735350547E+01   0.54979703749E+01   0.34586153395E+01
  8.64   0.62701288588E+01   0.55007097808E+01   0.34342543525E+01
  8.67   0.62667855063E+01   0.55038256306E+01   0.34099976358E+01
  8.70   0.62635070632E+01   0.55073182134E+01   0.33858416741E+01
  8.73   0.62602955060E+01   0.55111876492E+01   0.33617831526E+01
  8.76   0.62571527213E+01   0.55154338860E+01   0.33378189582E+01
  8.79   0.62540805050E+01   0.55200566964E+01   0.33139461790E+01
  8.82   0.62510805625E+01   0.55250556744E+01   0.32901621046E+01
  8.85   0.62481545085E+01   0.55304302312E+01   0.32664642257E+01
  8.88   0.62453038666E+01   0.55361795924E+01   0.32428502336E+01
  8.91   0.62425300694E+01   0.55423027937E+01   0.32193180202E+01
  8.94   0.62398344589E+01   0.55487986776E+01   0.31958656768E+01
  8.97   0.62372182860E+01   0.55556658893E+01   0.31724914936E+01
  9.00   0.62346827115E+01   0.55629028730E+01   0.31491939589E+01
  9.03   0.62322288058E+01   0.55705078684E+01   0.31259717583E+01
  9.06   0.62298575497E+01   0.55784789066E+01   0.31028237733E+01
  9.09   0.62275698347E+01   0.55868138067E+01   0.30797490809E+01
  9.12   0.62253664636E+01   0.55955101722E+01   0.30567469518E+01
